epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,302.372,1.71757,2.56856,1.33171,1.19145,0.62926,0.58172,0.60556,0.34928,0.63932,0.55196,0.57334,0.32797,1.90159,2.89127,1.55245,1.31457,0.00123566,0.00123566,0.00123566
43,309.604,1.729,2.56418,1.31072,1.19116,0.60384,0.60537,0.57776,0.33291,0.67461,0.62934,0.61625,0.33859,1.92277,2.88364,1.49438,1.34051,0.00123094,0.00123094,0.00123094
44,316.176,1.71016,2.55727,1.29875,1.17739,0.62258,0.6324,0.5996,0.34166,0.65829,0.6295,0.59564,0.32499,1.88494,2.88442,1.45757,1.30363,0.00122622,0.00122622,0.00122622
45,323.552,1.7491,2.61213,1.29438,1.21497,0.64994,0.58156,0.58247,0.33372,0.64452,0.59041,0.57834,0.3182,1.8593,2.82982,1.50522,1.27199,0.00122151,0.00122151,0.00122151
46,330.012,1.73152,2.55974,1.28607,1.21193,0.69315,0.58446,0.59481,0.33934,0.6645,0.59653,0.59253,0.3218,1.84804,2.82451,1.53184,1.26691,0.00121679,0.00121679,0.00121679
47,337.297,1.67638,2.52577,1.28374,1.18205,0.69145,0.59347,0.59393,0.34141,0.73053,0.57979,0.60661,0.336,1.86162,2.84735,1.48036,1.26848,0.00121208,0.00121208,0.00121208
48,344.027,1.70087,2.54496,1.2447,1.15326,0.68849,0.58547,0.62866,0.34124,0.72537,0.56371,0.60098,0.32823,1.89054,3.01583,1.48797,1.29541,0.00120736,0.00120736,0.00120736
49,351,1.69672,2.50273,1.29807,1.18347,0.74469,0.55452,0.6139,0.3357,0.75844,0.56779,0.60637,0.32589,1.86994,2.98572,1.52168,1.29573,0.00120265,0.00120265,0.00120265
50,358.278,1.62632,2.4476,1.22485,1.15446,0.71298,0.61203,0.63227,0.34563,0.68045,0.60035,0.60994,0.33467,1.86642,2.95022,1.50302,1.303,0.00119793,0.00119793,0.00119793
51,365.019,1.74397,2.57379,1.26762,1.20413,0.65498,0.59073,0.59094,0.32938,0.60887,0.57288,0.56335,0.32151,1.93166,2.9254,1.53125,1.32818,0.00119322,0.00119322,0.00119322
52,372.268,1.68691,2.54279,1.27815,1.19704,0.63014,0.64157,0.59255,0.32426,0.5955,0.58189,0.54976,0.31079,1.92613,2.91026,1.53696,1.32717,0.0011885,0.0011885,0.0011885
53,378.872,1.726,2.58002,1.27578,1.19767,0.70245,0.54295,0.55972,0.32697,0.65431,0.60264,0.57764,0.33574,1.91726,2.88518,1.50707,1.3092,0.00118378,0.00118378,0.00118378
54,386.077,1.6475,2.48073,1.21792,1.16646,0.67058,0.61165,0.60926,0.35563,0.67834,0.60264,0.60314,0.33777,1.8609,2.88078,1.45431,1.29037,0.00117907,0.00117907,0.00117907
